run_id,timestamp,model_type,params,rmse,mae,r2,nasa_score,notes
29b7e292,2026-04-19T00:23:00.738097,random_forest_regressor,"{'n_estimators': 200, 'max_depth': None, 'random_state': 42, 'n_jobs': -1}",16.9234,11.949,0.8217,814.29,CMAPSS FD001
933cbc7c,2026-04-19T01:51:20.095884,lstm_regressor_keras,"{'hidden_size': 128, 'num_layers': 2, 'dropout': 0.2, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'window': 30}",15.2176,11.2135,0.8558,366.64,CMAPSS FD001
51f91d9c,2026-04-19T02:01:02.353407,xgboost_regressor,"{'n_estimators': 500, 'max_depth': 6, 'learning_rate': 0.05, 'subsample': 0.8, 'colsample_bytree': 0.8, 'random_state': 42, 'n_jobs': -1}",17.342,12.3088,0.8127,869.49,CMAPSS FD001
2eede891,2026-04-19T02:02:15.178073,random_forest_regressor,"{'n_estimators': 200, 'max_depth': None, 'random_state': 42, 'n_jobs': -1}",16.9234,11.949,0.8217,814.29,CMAPSS FD001
7d5a0a49,2026-04-19T02:19:43.011531,random_forest_regressor,"{'n_estimators': 200, 'max_depth': None, 'random_state': 42, 'n_jobs': -1}",16.9234,11.949,0.8217,814.29,CMAPSS FD001
d0562caf,2026-04-19T02:19:51.110462,xgboost_regressor,"{'n_estimators': 500, 'max_depth': 6, 'learning_rate': 0.05, 'subsample': 0.8, 'colsample_bytree': 0.8, 'random_state': 42, 'n_jobs': -1}",17.342,12.3088,0.8127,869.49,CMAPSS FD001
44b183c4,2026-04-19T02:46:57.094646,lstm_regressor_keras,"{'hidden_size': 128, 'num_layers': 2, 'dropout': 0.2, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'window': 30}",18.6158,13.2461,0.7842,872.15,CMAPSS FD001
c81eebe8,2026-04-19T04:04:12.796408,random_forest_regressor,"{'n_estimators': 200, 'max_depth': None, 'random_state': 42, 'n_jobs': -1}",17.208,13.0795,0.8394,2569.89,CMAPSS FD001
c7bbb8e4,2026-04-19T04:04:15.487125,xgboost_regressor,"{'n_estimators': 500, 'max_depth': 6, 'learning_rate': 0.05, 'subsample': 0.8, 'colsample_bytree': 0.8, 'random_state': 42, 'n_jobs': -1}",17.1138,12.8843,0.8412,2854.96,CMAPSS FD001
d40a589a,2026-04-19T04:04:24.467377,random_forest_regressor,"{'n_estimators': 200, 'max_depth': None, 'random_state': 42, 'n_jobs': -1}",20.2529,14.6463,0.7326,2174.05,CMAPSS FD001
2a190219,2026-04-19T04:05:08.530853,xgboost_regressor,"{'n_estimators': 500, 'max_depth': 6, 'learning_rate': 0.05, 'subsample': 0.8, 'colsample_bytree': 0.8, 'random_state': 42, 'n_jobs': -1}",21.1041,14.7935,0.7097,2831.38,CMAPSS FD001
2dd0c610,2026-04-19T04:05:10.994915,random_forest_regressor,"{'n_estimators': 200, 'max_depth': None, 'random_state': 42, 'n_jobs': -1}",19.5352,14.457,0.7934,3192.21,CMAPSS FD001
a8e42e56,2026-04-19T04:05:13.605052,xgboost_regressor,"{'n_estimators': 500, 'max_depth': 6, 'learning_rate': 0.05, 'subsample': 0.8, 'colsample_bytree': 0.8, 'random_state': 42, 'n_jobs': -1}",20.053,14.5724,0.7823,3799.06,CMAPSS FD001
d1b1b143,2026-04-19T04:29:17.438564,lstm_regressor_keras,"{'hidden_size': 128, 'num_layers': 2, 'dropout': 0.2, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'window': 30}",18.5405,13.1572,0.8136,3788.26,CMAPSS FD001
e6f4405d,2026-04-19T04:40:28.451754,lstm_regressor_keras,"{'hidden_size': 128, 'num_layers': 2, 'dropout': 0.2, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'window': 30}",15.2305,11.0297,0.8488,603.13,CMAPSS FD001
5f990d95,2026-04-19T05:41:39.259851,lstm_regressor_keras,"{'hidden_size': 128, 'num_layers': 2, 'dropout': 0.2, 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'window': 30}",21.5307,15.5404,0.7491,5329.31,CMAPSS FD001
